Nativity,Sex,Group,Year,Life Expectancy
Total,Male,Total,2017,77.3
Total,Male,Total,2018,77.5
Total,Male,Total,2019,77.7
Total,Male,Total,2020,77.9
Total,Male,Total,2021,78.1
Total,Male,Total,2022,78.3
Total,Male,Total,2023,78.4
Total,Male,Total,2024,78.6
Total,Male,Total,2025,78.8
Total,Male,Total,2026,79
Total,Male,Total,2027,79.1
Total,Male,Total,2028,79.3
Total,Male,Total,2029,79.5
Total,Male,Total,2030,79.7
Total,Male,Total,2031,79.8
Total,Male,Total,2032,80
Total,Male,Total,2033,80.1
Total,Male,Total,2034,80.3
Total,Male,Total,2035,80.5
Total,Male,Total,2036,80.6
Total,Male,Total,2037,80.8
Total,Male,Total,2038,80.9
Total,Male,Total,2039,81.1
Total,Male,Total,2040,81.2
Total,Male,Total,2041,81.4
Total,Male,Total,2042,81.5
Total,Male,Total,2043,81.7
Total,Male,Total,2044,81.8
Total,Male,Total,2045,81.9
Total,Male,Total,2046,82.1
Total,Male,Total,2047,82.2
Total,Male,Total,2048,82.4
Total,Male,Total,2049,82.5
Total,Male,Total,2050,82.6
Total,Male,Total,2051,82.8
Total,Male,Total,2052,82.9
Total,Male,Total,2053,83
Total,Male,Total,2054,83.2
Total,Male,Total,2055,83.3
Total,Male,Total,2056,83.4
Total,Male,Total,2057,83.5
Total,Male,Total,2058,83.7
Total,Male,Total,2059,83.8
Total,Male,Total,2060,83.9
Total,Female,Total,2017,82
Total,Female,Total,2018,82.2
Total,Female,Total,2019,82.3
Total,Female,Total,2020,82.4
Total,Female,Total,2021,82.6
Total,Female,Total,2022,82.7
Total,Female,Total,2023,82.9
Total,Female,Total,2024,83
Total,Female,Total,2025,83.1
Total,Female,Total,2026,83.3
Total,Female,Total,2027,83.4
Total,Female,Total,2028,83.5
Total,Female,Total,2029,83.7
Total,Female,Total,2030,83.8
Total,Female,Total,2031,83.9
Total,Female,Total,2032,84.1
Total,Female,Total,2033,84.2
Total,Female,Total,2034,84.3
Total,Female,Total,2035,84.4
Total,Female,Total,2036,84.6
Total,Female,Total,2037,84.7
Total,Female,Total,2038,84.8
Total,Female,Total,2039,84.9
Total,Female,Total,2040,85.1
Total,Female,Total,2041,85.2
Total,Female,Total,2042,85.3
Total,Female,Total,2043,85.4
Total,Female,Total,2044,85.5
Total,Female,Total,2045,85.6
Total,Female,Total,2046,85.8
Total,Female,Total,2047,85.9
Total,Female,Total,2048,86
Total,Female,Total,2049,86.1
Total,Female,Total,2050,86.2
Total,Female,Total,2051,86.3
Total,Female,Total,2052,86.4
Total,Female,Total,2053,86.6
Total,Female,Total,2054,86.7
Total,Female,Total,2055,86.8
Total,Female,Total,2056,86.9
Total,Female,Total,2057,87
Total,Female,Total,2058,87.1
Total,Female,Total,2059,87.2
Total,Female,Total,2060,87.3
